Småhus;Boligblokk;Næringsbygg_mindre;Næringsbygg_større
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0.000390143;0.000456645;0.000545598;0.000654717
0.000849519;0.000973742;0.001142448;0.001370938
0.003298463;0.003194389;0.00313765;0.00376518
0.001761922;0.001981818;0.002285901;0.002743082
0.000610629;0.000708007;0.000839088;0.001006906
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0.000390143;0.000456645;0.000545598;0.000654717
0.000849519;0.000973742;0.001142448;0.001370938
0.003298463;0.003194389;0.00313765;0.00376518
0.001761922;0.001981818;0.002285901;0.002743082
0.000610629;0.000708007;0.000839088;0.001006906
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0.000390143;0.000456645;0.000545598;0.000654717
0.000849519;0.000973742;0.001142448;0.001370938
0.003298463;0.003194389;0.00313765;0.00376518
0.001761922;0.001981818;0.002285901;0.002743082
0.000610629;0.000708007;0.000839088;0.001006906
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0.000390143;0.000456645;0.000545598;0.000654717
0.000849519;0.000973742;0.001142448;0.001370938
0.003298463;0.003194389;0.00313765;0.00376518
0.001761922;0.001981818;0.002285901;0.002743082
0.000610629;0.000708007;0.000839088;0.001006906
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0.000390143;0.000456645;0.000545598;0.000654717
